"X","n","y1","y2","y3"
"1%",10,0.26175929539505,3.32785560002512,10.3094497134569
"1%1",15,3.13517492164389,7.70145982563262,17.5633438041689
"1%2",20,4.52995441955452,11.9456763670622,21.507766430055
"1%3",25,9.40718693360301,15.3312968833059,24.4667125390344
"1%4",30,11.3435888944417,20.5227191558305,31.9299111263855
"1%5",35,12.7631354703475,22.5002832175436,35.154735296675
"1%6",40,14.9822508903783,26.1743366947031,39.6232983500103
"1%7",45,17.732319839976,29.2769157386673,42.5038328380776
"1%8",50,20.7884447468939,32.5414977272826,44.8199650825007
"1%9",55,21.2308896129907,33.6446987643773,46.0078910011717
"1%10",60,23.2389849141634,36.6173024094,47.9768296752869
"1%11",65,28.4201123164463,38.29605737324,51.1318981614806
"1%12",70,28.2767405609551,39.3813083452781,52.3559970752643
"1%13",75,26.9733156023765,41.574343233058,56.3035051407858
"1%14",80,28.7053506443004,44.1918787611264,64.0817501030077
"1%15",85,29.4439676365117,44.4732165243731,55.9045375486928
"1%16",90,33.6676173659839,45.170802299053,56.2624879903162
"1%17",95,36.6130638839054,49.885710649045,62.5875974861659
"1%18",100,36.8026949271391,49.0680739771814,60.7379048132113
"1%19",105,35.425435931311,49.0020335329701,63.7891260306961
"1%20",110,39.9651522459644,51.5806406234527,64.1045796154916
"1%21",115,42.7595572168736,52.7838413152221,64.980471578438
"1%22",120,42.11686690629,52.9045356507621,64.9028702439034
"1%23",125,43.5545109993012,54.0656730367029,65.3777844219445
"1%24",130,45.8075226305978,56.1878006304546,67.9571836095541
"1%25",135,45.8405538055611,56.9598921385512,68.8031531242353
"1%26",140,41.8919617376054,58.2589989350187,69.666805825149
"1%27",145,47.2026555414333,58.6068279796287,70.2531423904995
"1%28",150,50.2601889015644,61.3564705613314,71.936696154252
"1%29",155,48.0378701239443,59.7435214400377,73.7559792677422
"1%30",160,49.7513436210048,61.1627390203813,72.5313581015657
"1%31",165,51.2987228095925,63.5036454816109,74.1064069184288
"1%32",170,48.8556115453852,62.7298445659859,72.704411928643
"1%33",175,52.9775051174259,64.2680603805715,75.1406615478752
"1%34",180,54.2651836619891,65.4674345872722,73.9589617802613
"1%35",185,53.5696898096215,65.4108774620632,73.469386054333
"1%36",190,51.4349200127485,66.4433754154767,80.6182123849521
"1%37",195,55.1005286022341,67.5949709309116,77.2875374738098
"1%38",200,55.0554287691843,68.6245098005111,78.4960071974017
"1%39",205,59.0338825447665,68.7202353801068,79.5210938080657
"1%40",210,55.178309218148,69.2183818133052,81.2385029850385
"1%41",215,59.7946542886307,69.7092686083714,80.4732421538148
"1%42",220,58.0032385748437,69.3341900818843,80.0962876209835
"1%43",225,60.4113624548559,70.4731524155785,81.5007396593863
"1%44",230,57.7208803544156,70.6086310254446,81.4024372196215
"1%45",235,59.835988582649,72.500443740889,82.4037830938427
"1%46",240,61.2237874578349,71.8677877154577,83.7310459233183
"1%47",245,61.5234503903379,73.176908883696,81.0682502195025
"1%48",250,61.5781652035932,73.1204732625818,81.4026527788558
"1%49",255,63.2021399412616,74.0103494609482,81.6690317183072
"1%50",260,63.6962688534536,74.4230478476176,82.7420984137825
"1%51",265,64.4212687780391,74.7647792362967,83.2012799180194
"1%52",270,64.2956383903188,75.6796817028922,84.6183572209762
"1%53",275,67.988291153057,75.583603105473,85.6259699352143
"1%54",280,66.392653382051,75.7758165491283,86.0622779581314
"1%55",285,66.1283648802649,77.5736736045723,84.944761036524
"1%56",290,67.1297669375871,77.3319766917263,85.9421237083811
"1%57",295,66.3181887503927,77.6977289963848,85.385973776842
"1%58",300,67.446557058012,78.8904436612155,87.4263418476805
"1%59",305,68.9219994216251,78.1497978227304,89.3818465079228
"1%60",310,67.7411603320202,78.2674612960409,84.9980280895788
"1%61",315,70.7577377953078,79.0301326312122,86.3108563849898
"1%62",320,71.8487247914185,79.6552795756824,87.4465984629511
"1%63",325,70.7619276099177,79.0830146264716,87.5039475795472
"1%64",330,70.5794521478734,79.8562862678101,87.6573957685086
"1%65",335,73.4152711333685,80.5459052492783,86.1177520035753
"1%66",340,73.4518438382634,80.815235966039,87.2873750205779
"1%67",345,69.803612601924,80.9605179294286,88.5634368288953
"1%68",350,71.3017544283055,81.3656557782263,89.6029795388028
"1%69",355,74.476444252074,81.3365265186714,89.268817347843
"1%70",360,73.5593792743038,82.7668363531911,91.452479767961
"1%71",365,73.0753793306948,82.3135913840802,91.6558903645503
"1%72",370,71.8441612428152,82.3764428281063,89.3390575835585
"1%73",375,74.0928659457263,83.2951530797934,91.0601103818524
"1%74",380,73.4594723263287,83.7136181111307,89.0095731100154
"1%75",385,75.9072111784937,83.4293430583492,91.03981588088
"1%76",390,76.0424176997493,83.7221931590932,92.183292416514
"1%77",395,77.6517937426775,83.3874882364717,90.4242699526201
"1%78",400,77.7734917914329,84.7223314234098,90.4877010921333
"1%79",405,74.8214810613307,84.7462871207592,92.0329361731681
"1%80",410,76.390547902868,85.1496936314945,90.3425027773265
"1%81",415,75.4376875583708,85.5824175239823,92.5327356119216
"1%82",420,77.3052944394887,85.3583477987534,91.9245789071504
"1%83",425,77.845237193143,85.5216008139548,92.7441045466195
"1%84",430,81.0610382806227,86.8255649941293,93.0713158078394
"1%85",435,77.569337387962,86.8192150703214,92.9375463557912
"1%86",440,78.5033620648455,86.7233459986714,93.255377707149
"1%87",445,81.7028771818746,87.5721452530696,92.5000218294219
"1%88",450,78.8134460126289,87.6710601217006,92.8379546298602
"1%89",455,78.9524235641691,87.339059963997,93.6154200075258
"1%90",460,79.1874057980037,87.2304674887281,92.9092236280244
"1%91",465,79.4399382748065,87.8767058237293,94.6404797818203
"1%92",470,80.4474609558308,88.4185098418575,94.7089438931314
"1%93",475,81.5642829116035,89.7978784719467,95.4502028770452
"1%94",480,81.850169549876,88.9814362569635,94.1985879387284
"1%95",485,83.9245876563871,88.9188043676714,95.0034407172684
"1%96",490,82.7359650091408,89.6816698019752,94.7777363509123
"1%97",495,81.3686592596273,89.5693134766833,94.4381185264944
"1%98",500,80.6975406443675,89.552334233197,94.8818366572973
"1%99",505,82.5927849031637,89.9307895366359,95.1669120514348
"1%100",510,82.7756472421848,90.2974258452726,95.3159544604234
"1%101",515,84.0366862038107,90.9272188050008,95.7654598975401
"1%102",520,84.4958344903945,90.392479383829,95.5853135699214
"1%103",525,83.9477751270465,91.1152450766471,95.7425525016982
"1%104",530,84.8558616755489,91.0584889823655,95.3347591500998
"1%105",535,85.2998705399,90.7814119244319,96.2287208674364
"1%106",540,84.9189655525706,91.8670452449379,96.327850997459
"1%107",545,85.1528790315558,91.8328887082053,95.956994151316
"1%108",550,87.1525682278255,92.0430977727046,96.5794651023587
"1%109",555,85.604426158444,92.3285660557173,96.7654085638636
"1%110",560,82.9654460874507,92.6161026799037,97.0229787534945
"1%111",565,86.0772452347956,92.3683753851941,97.0859761889929
"1%112",570,86.4899862756313,92.5749725662583,96.900128577814
"1%113",575,85.8233481882891,93.080681978469,97.1394234593962
"1%114",580,86.9801943851712,92.9708713475095,97.116493623668
"1%115",585,88.2566499722572,93.2743985782088,96.8985441912956
"1%116",590,84.6087679957676,93.35639021974,97.7522551106502
"1%117",595,86.2965886665501,93.777153128878,98.3353462708222
"1%118",600,87.1046826102593,93.9767714503978,97.5346536518352
